日付,都道府県名,人数
2020/01/26,合計,1
2020/01/26,北海道,0
2020/01/26,青森県,0
2020/01/26,岩手県,0
2020/01/26,宮城県,0
2020/01/26,秋田県,0
2020/01/26,山形県,0
2020/01/26,福島県,0
2020/01/26,茨城県,0
2020/01/26,栃木県,0
2020/01/26,群馬県,0
2020/01/26,埼玉県,0
2020/01/26,千葉県,0
2020/01/26,東京都,0
2020/01/26,神奈川県,0
2020/01/26,新潟県,0
2020/01/26,富山県,0
2020/01/26,石川県,0
2020/01/26,福井県,0
2020/01/26,山梨県,0
2020/01/26,長野県,0
2020/01/26,岐阜県,0
2020/01/26,静岡県,0
2020/01/26,愛知県,1
2020/01/26,三重県,0
2020/01/26,滋賀県,0
2020/01/26,京都府,0
2020/01/26,大阪府,0
2020/01/26,兵庫県,0
2020/01/26,奈良県,0
2020/01/26,和歌山県,0
2020/01/26,鳥取県,0
2020/01/26,島根県,0
2020/01/26,岡山県,0
2020/01/26,広島県,0
2020/01/26,山口県,0
2020/01/26,徳島県,0
2020/01/26,香川県,0
2020/01/26,愛媛県,0
2020/01/26,高知県,0
2020/01/26,福岡県,0
2020/01/26,佐賀県,0
2020/01/26,長崎県,0
2020/01/26,熊本県,0
2020/01/26,大分県,0
2020/01/26,宮崎県,0
2020/01/26,鹿児島県,0
2020/01/26,沖縄県,0
2020/01/27,合計,0
2020/01/27,北海道,0
2020/01/27,青森県,0
2020/01/27,岩手県,0
2020/01/27,宮城県,0
2020/01/27,秋田県,0
2020/01/27,山形県,0
2020/01/27,福島県,0
2020/01/27,茨城県,0
2020/01/27,栃木県,0
2020/01/27,群馬県,0
2020/01/27,埼玉県,0
2020/01/27,千葉県,0
2020/01/27,東京都,0
2020/01/27,神奈川県,0
2020/01/27,新潟県,0
2020/01/27,富山県,0
2020/01/27,石川県,0
2020/01/27,福井県,0
2020/01/27,山梨県,0
2020/01/27,長野県,0
2020/01/27,岐阜県,0
2020/01/27,静岡県,0
2020/01/27,愛知県,0
2020/01/27,三重県,0
2020/01/27,滋賀県,0
2020/01/27,京都府,0
2020/01/27,大阪府,0
