,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09
北海道,1,69,107,590,324,172,165,353,326,1029,5731,4573,4007,1648,1901,3176,13790,3373,3092,12383,665
青森県,0,0,8,18,1,0,5,3,1,191,68,187,235,99,215,545,776,148,198,1661,233
岩手県,0,0,0,0,0,0,3,16,4,4,167,191,111,58,67,291,530,237,323,1002,88
宮城県,0,1,6,81,0,6,66,47,199,319,485,981,1218,214,2416,2010,812,274,780,4810,318
秋田県,0,0,6,10,0,0,2,31,4,10,27,50,121,8,14,172,300,120,145,604,29
山形県,0,0,1,67,1,0,7,2,0,8,49,252,116,40,410,565,448,59,121,1032,68
福島県,0,0,4,69,8,1,7,72,92,135,113,443,783,220,552,874,1210,299,875,2952,149
茨城県,0,0,24,139,5,6,120,251,112,111,793,885,2373,939,987,1404,1593,810,1917,8171,435
栃木県,0,1,12,41,12,14,116,108,127,59,149,840,2293,322,545,713,993,685,1299,4931,278
群馬県,0,0,18,122,9,4,37,250,261,199,307,1108,1552,635,505,1007,1810,217,756,6203,356
埼玉県,0,0,100,750,156,131,1184,1614,726,1203,2570,5869,10902,4164,3484,4976,5979,2662,10511,44151,2318
千葉県,1,13,159,665,67,60,690,1396,845,1140,1973,4079,11247,4104,3243,3500,3948,3161,8875,37687,2223
東京都,0,18,489,3747,958,994,6464,8125,4918,5350,9861,19369,40367,10997,9310,18090,21879,12979,44034,125606,6267
神奈川県,0,23,119,882,344,133,982,2475,1936,1813,3845,8708,19501,4137,3172,5465,7986,5879,15959,64421,3659
新潟県,0,1,30,45,7,1,28,32,28,14,148,209,371,170,382,825,923,195,618,2750,142
富山県,0,0,2,195,30,0,11,149,31,5,36,102,315,33,35,381,553,172,246,2085,83
石川県,0,6,7,238,47,2,21,305,150,34,43,218,391,389,60,556,1285,179,1175,2148,105
福井県,0,0,20,102,0,0,17,89,16,13,59,39,159,31,44,286,166,248,318,971,43
山梨県,0,0,5,47,13,10,23,76,17,26,130,224,335,39,30,244,338,551,313,2080,89
長野県,0,2,6,59,10,1,28,151,53,32,377,465,1105,76,432,1058,935,247,258,2584,136
岐阜県,0,2,23,124,1,6,175,224,71,60,386,1220,1828,496,225,913,2860,645,330,5901,507
静岡県,0,1,7,62,5,6,188,214,63,115,1012,1013,1908,551,577,749,1933,924,1575,11635,909
愛知県,2,27,149,309,24,17,1305,2767,830,864,3830,6447,7475,1842,1505,6087,13859,3805,3003,29631,3595
三重県,1,0,10,34,0,1,55,279,129,56,293,433,897,340,225,1012,1149,343,506,6619,517
滋賀県,0,0,7,89,7,1,70,282,52,51,230,393,949,345,303,957,1386,452,470,4564,417
京都府,1,1,67,251,40,23,408,666,310,285,625,2132,3644,617,454,2998,3310,775,1737,11876,1010
大阪府,1,3,240,1377,186,53,2224,4502,2065,2165,7519,9726,13723,3364,5080,28992,18548,3676,10753,54594,5505
兵庫県,0,0,148,498,61,7,514,1057,443,532,2372,4384,6467,1504,2093,11480,8242,1231,3071,21466,1972
奈良県,1,0,10,73,8,0,143,284,52,80,482,842,1006,312,401,2360,1699,439,702,4251,409
和歌山県,0,13,5,44,2,1,86,80,12,34,178,164,447,100,124,871,460,66,288,1596,125
鳥取県,0,0,0,3,0,0,12,7,13,3,20,61,80,11,50,113,92,16,293,671,34
島根県,0,0,0,23,1,0,5,108,3,1,6,61,61,16,3,60,199,13,177,607,55
岡山県,0,0,4,19,2,1,53,66,12,129,313,764,975,146,209,1253,3394,250,595,5198,381
広島県,0,0,6,149,12,1,161,129,119,85,194,2463,1497,209,147,843,4677,808,647,6546,495
山口県,0,0,6,26,5,0,16,115,33,12,174,201,648,147,36,417,1090,217,156,1655,131
徳島県,0,1,2,2,0,1,19,105,18,16,17,17,187,67,83,760,336,25,132,911,92
香川県,0,0,2,26,0,0,18,32,16,8,46,156,339,107,86,423,744,94,176,1962,123
愛媛県,0,0,9,38,35,0,7,25,0,2,198,150,529,70,302,967,384,42,171,1722,56
高知県,0,1,16,57,0,0,6,45,13,6,8,511,184,37,33,124,430,356,263,1384,113
福岡県,0,2,44,596,117,92,1074,2671,444,187,601,3138,7217,1888,953,4418,10688,1433,3848,25704,1812
佐賀県,0,0,2,38,7,0,35,155,8,9,55,159,483,106,132,415,899,53,192,2393,132
長崎県,0,0,2,15,0,0,57,157,5,9,26,384,871,86,22,443,815,293,275,1807,130
熊本県,0,5,9,33,1,1,142,329,55,221,226,852,1464,104,64,645,2108,238,517,5536,351
大分県,0,0,29,31,0,0,6,79,13,1,136,394,469,135,16,546,1514,122,167,3334,242
宮崎県,0,0,3,14,0,0,124,217,7,2,135,255,1063,127,15,246,817,58,145,2201,157
鹿児島県,0,0,1,9,0,1,241,110,55,53,159,387,606,139,69,293,1204,347,294,4137,187
沖縄県,0,3,6,134,4,0,253,1731,358,848,986,1042,2181,649,1289,2975,4592,3763,3978,17914,1100
